"variable","class","glm_coef","glm_selected","ridge_coef","ridge_selected","lasso_coef","lasso_selected","elastic_coef","elastic_selected","Boruta"
"After chewing a fresh mint gum, I feel I can breathe better through my nose","1",NA,FALSE,0.105098269025596,TRUE,0.0833590899562712,TRUE,0.115104822590322,TRUE,"Confirmed"
"After chewing a fresh mint gum, I feel I can breathe better through my nose","3",-0.238415186090686,FALSE,0.0711524277062884,TRUE,0,FALSE,0.022866877816613,TRUE,"Confirmed"
"After chewing a fresh mint gum, I feel I can breathe better through my nose","4",-0.701195289477793,TRUE,-0.209773533440899,TRUE,-0.337831046055437,TRUE,-0.314238662079047,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","1",NA,FALSE,-0.502818757497399,TRUE,-0.792010228168556,TRUE,-0.734068297833411,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","2",2.15630675915109,TRUE,0.423180827176584,TRUE,0.51129707331233,TRUE,0.576291505155778,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","3",0.538394631183936,FALSE,-0.415583901857949,TRUE,-0.51129707331233,TRUE,-0.474753473368265,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","4",2.07622974940029,TRUE,0.495221832178764,TRUE,0.568394973595908,TRUE,0.632530266045899,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","1",NA,FALSE,-0.53602743807304,TRUE,-0.717583640783304,TRUE,-0.787207951370823,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","2",2.66092002748124,TRUE,0.681874808113207,TRUE,1.16402132681682,TRUE,1.0189545751587,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","3",2.01140397649313,TRUE,0.457745886906079,TRUE,0.717583640783304,TRUE,0.617599760148729,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","4",-0.0018608101719668,FALSE,-0.603593256946245,TRUE,-0.781339214700944,TRUE,-0.849346383936606,TRUE,"Confirmed"
"CO2_threshold_transformed","1",NA,FALSE,0.176610333395745,TRUE,0,FALSE,0.0764219991535412,TRUE,"Rejected"
"CO2_threshold_transformed","2",-2.19988595795865,TRUE,-0.611452517982309,TRUE,-1.26947517780264,TRUE,-1.17593845725413,TRUE,"Rejected"
"CO2_threshold_transformed","3",0.139686243609506,FALSE,0.350007581635067,TRUE,0.191824717976234,TRUE,0.264332048977828,TRUE,"Rejected"
"CO2_threshold_transformed","4",-0.302342555057223,FALSE,0.0848346029514964,TRUE,0,FALSE,0,FALSE,"Rejected"
"Has your eye watering while cutting onions changed in the last 10 years?","1",NA,FALSE,0.0949971428993173,TRUE,0,FALSE,0,FALSE,"Confirmed"
"Has your eye watering while cutting onions changed in the last 10 years?","3",1.01465798221089,TRUE,0.563173962746547,TRUE,0.677162618748708,TRUE,0.680708384015138,TRUE,"Confirmed"
"Has your eye watering while cutting onions changed in the last 10 years?","4",-1.26023465802841,TRUE,-0.633063661601983,TRUE,-0.951686728102291,TRUE,-0.925985691163143,TRUE,"Confirmed"
"How often do you cut fresh onions per month?","1",NA,FALSE,-0.0629296031710501,TRUE,-0.0954910710267091,TRUE,-0.0870005240144493,TRUE,"Confirmed"
"How often do you cut fresh onions per month?","2",0.505691652288692,FALSE,0.0777218960684499,TRUE,0.0954910710267091,TRUE,0.126983353922824,TRUE,"Confirmed"
"How often do you cut fresh onions per month?","3",0.77418688629425,TRUE,0.300933823671341,TRUE,0.37706615732647,TRUE,0.397363966594606,TRUE,"Confirmed"
