"class","variable","glm_coef","glm_pval","ridge_coef","lasso_coef","elastic_coef","glm_selected","ridge_selected","lasso_selected","elastic_selected","Boruta"
"2","(Intercept)",-42.5523290247597,0,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA
"3","(Intercept)",-15.5666548791383,4.71620476005796e-09,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA
"4","(Intercept)",-14.2517132889915,5.2495733759983e-08,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA
"1","AmmoLa_intensity_transformed",NA,NA,-0.502818757497399,-0.792010228168556,-0.734068297833411,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","AmmoLa_intensity_transformed",2.15630675915109,0.00236227224361008,0.423180827176584,0.51129707331233,0.576291505155778,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","AmmoLa_intensity_transformed",0.538394631183936,0.274905883762671,-0.415583901857949,-0.51129707331233,-0.474753473368265,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"4","AmmoLa_intensity_transformed",2.07622974940029,5.10633187069676e-05,0.495221832178764,0.568394973595908,0.632530266045899,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"1","CO2_threshold_transformed",NA,NA,0.176610333395745,0,0.0764219991535412,FALSE,TRUE,FALSE,TRUE,"Rejected"
"2","CO2_threshold_transformed",-2.19988595795865,0.00415296372553042,-0.611452517982309,-1.26947517780264,-1.17593845725413,TRUE,TRUE,TRUE,TRUE,"Rejected"
"3","CO2_threshold_transformed",0.139686243609506,0.801226676999778,0.350007581635067,0.191824717976234,0.264332048977828,FALSE,TRUE,TRUE,TRUE,"Rejected"
"4","CO2_threshold_transformed",-0.302342555057223,0.581070056187,0.0848346029514964,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"1","After chewing a fresh mint gum, I feel I can breathe better through my nose",NA,NA,0.105098269025596,0.0833590899562712,0.115104822590322,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","After chewing a fresh mint gum, I feel I can breathe better through my nose",-0.410859375049239,0.260341166446575,0.033522836709015,0,0,FALSE,FALSE,FALSE,FALSE,"Confirmed"
"3","After chewing a fresh mint gum, I feel I can breathe better through my nose",-0.238415186090686,0.376402774003605,0.0711524277062884,0,0.022866877816613,FALSE,TRUE,FALSE,TRUE,"Confirmed"
"4","After chewing a fresh mint gum, I feel I can breathe better through my nose",-0.701195289477793,0.00438325056808031,-0.209773533440899,-0.337831046055437,-0.314238662079047,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"1","Burning or pungent odors can cause unpleasant sensations or pain in my face",NA,NA,-0.53602743807304,-0.717583640783304,-0.787207951370823,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","Burning or pungent odors can cause unpleasant sensations or pain in my face",2.66092002748124,9.37361810393611e-09,0.681874808113207,1.16402132681682,1.0189545751587,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","Burning or pungent odors can cause unpleasant sensations or pain in my face",2.01140397649313,5.2651269788484e-08,0.457745886906079,0.717583640783304,0.617599760148729,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"4","Burning or pungent odors can cause unpleasant sensations or pain in my face",-0.0018608101719668,0.995972945853662,-0.603593256946245,-0.781339214700944,-0.849346383936606,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"1","Has your eye watering while cutting onions changed in the last 10 years?",NA,NA,0.0949971428993173,0,0,FALSE,TRUE,FALSE,FALSE,"Confirmed"
"2","Has your eye watering while cutting onions changed in the last 10 years?",0.090521881924829,0.869228072119843,-0.0251074440438813,0,0,FALSE,FALSE,FALSE,FALSE,"Confirmed"
"3","Has your eye watering while cutting onions changed in the last 10 years?",1.01465798221089,0.0124273059491375,0.563173962746547,0.677162618748708,0.680708384015138,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"4","Has your eye watering while cutting onions changed in the last 10 years?",-1.26023465802841,0.0081941193151398,-0.633063661601983,-0.951686728102291,-0.925985691163143,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"1","How often do you cut fresh onions per month?",NA,NA,-0.0629296031710501,-0.0954910710267091,-0.0870005240144493,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","How often do you cut fresh onions per month?",0.505691652288692,0.0771206014838166,0.0777218960684499,0.0954910710267091,0.126983353922824,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"3","How often do you cut fresh onions per month?",0.77418688629425,0.00048449034336584,0.300933823671341,0.37706615732647,0.397363966594606,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"4","How often do you cut fresh onions per month?",-0.411193857635305,0.0531167213651011,-0.315726116568741,-0.470029245179248,-0.437346796502981,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"1","I avoid burning or pungent smells (e.g., ammonia or chlorine)",NA,NA,-0.639067852793039,-1.04600134422891,-0.939312337669036,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","I avoid burning or pungent smells (e.g., ammonia or chlorine)",2.55383432235103,1.29674049276218e-13,0.507232975246629,0.781517514093527,0.807346063149119,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","I avoid burning or pungent smells (e.g., ammonia or chlorine)",1.7786329965684,1.42601486174954e-11,0.247014167135886,0.243168829647233,0.313560913992474,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"4","I avoid burning or pungent smells (e.g., ammonia or chlorine)",0.985905344465106,9.68841775050855e-06,-0.115179289589476,-0.243168829647233,-0.181594639472556,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"1","I avoid carbonated beverages because they burn my nose (e.g., on burping)",NA,NA,-0.43694628030202,-0.580108595072319,-0.683764709807235,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","I avoid carbonated beverages because they burn my nose (e.g., on burping)",2.43278909633265,4.32673896710867e-11,0.623423041296508,1.09685629812764,0.926477279374447,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","I avoid carbonated beverages because they burn my nose (e.g., on burping)",1.13040509653442,0.000106569613514962,0.0458303119634995,0.163386525231543,0.0470944247697563,TRUE,FALSE,TRUE,TRUE,"Confirmed"
"4","I avoid carbonated beverages because they burn my nose (e.g., on burping)",0.644125810957006,0.0292102865881281,-0.232307072957988,-0.163386525231543,-0.289806994336968,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"1","I consciously and intensely perceive carbonation in drinks",NA,NA,-0.327485345881511,-0.495818840032047,-0.483442593446013,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","I consciously and intensely perceive carbonation in drinks",1.17470371267999,0.00045490822456129,0.286213793551669,0.30935149771556,0.327073070164935,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","I consciously and intensely perceive carbonation in drinks",0.759526101222315,0.00155084600881761,0.0084880286841492,0,0,TRUE,FALSE,FALSE,FALSE,"Confirmed"
"4","I consciously and intensely perceive carbonation in drinks",0.669477063055548,0.0045095577058516,0.0327835236456925,0,0,TRUE,FALSE,FALSE,FALSE,"Confirmed"
"1","I consider my nasal breathing to be very good",NA,NA,-0.203112030971569,-0.270141348653685,-0.315186073997074,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","I consider my nasal breathing to be very good",1.15121437072228,0.000911483817771286,0.26489822613961,0.440246514731761,0.397507398201208,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","I consider my nasal breathing to be very good",0.209178396681525,0.366142026316654,-0.197968574865152,-0.188357050800229,-0.233981231885753,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"4","I consider my nasal breathing to be very good",0.740675776433048,0.00264738536749487,0.136182379697111,0.188357050800229,0.151659907681619,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"1","I dislike going to saunas because I perceive hot air in my nose as burning",NA,NA,-0.343453281413122,-0.376001247066453,-0.382109951792508,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","I dislike going to saunas because I perceive hot air in my nose as burning",2.16462339581685,8.64515126153265e-11,0.581750576796062,1.08943370994527,1.03228480496963,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","I dislike going to saunas because I perceive hot air in my nose as burning",0.666298457424926,0.00864197880345507,-0.124226654629927,0,0,TRUE,TRUE,FALSE,FALSE,"Confirmed"
"4","I dislike going to saunas because I perceive hot air in my nose as burning",0.637594490881581,0.015344922953727,-0.114070640753013,0,0,TRUE,TRUE,FALSE,FALSE,"Confirmed"
"1","I only use toothpaste with a very mild mint scent",NA,NA,-0.414629523300127,-0.680376982422691,-0.587094939354761,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","I only use toothpaste with a very mild mint scent",1.45338784573781,1.91922763215224e-06,0.323938815807939,0.347622228714695,0.430039098737039,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"3","I only use toothpaste with a very mild mint scent",1.28431676906313,9.67249222938449e-08,0.18172213892752,0.189691685357491,0.271438995365731,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"4","I only use toothpaste with a very mild mint scent",0.654340261312423,0.00339549741580325,-0.0910314314353314,-0.189691685357491,-0.114383154748009,TRUE,TRUE,TRUE,TRUE,"Confirmed"
"1","In winter, I find cold air in my nose extremely uncomfortable",NA,NA,-0.684512273676671,-1.16170466565502,-0.997237714196406,FALSE,TRUE,TRUE,TRUE,"Confirmed"
"2","In winter, I find cold air in my nose extremely uncomfortable",2.56924285728918,2.41393571798199e-11,0.474812064466518,0.661341715585784,0.741605293147726,TRUE,TRUE,TRUE,TRUE,"Confirmed"
